id,department_id,date,readmission_rate,complication_rate,mortality_indicator,patient_satisfaction,treatment_outcome_score
63,6,2025-12-01,3.2,1.3,0.17,87.8,90.8
64,6,2026-01-01,3.2,1.5,0.2,87.8,92.0
65,6,2026-02-01,2.9,1.7,0.22,87.6,89.5
66,6,2026-03-01,3.5,1.5,0.22,87.6,93.9
67,6,2026-04-01,3.1,1.6,0.24,89.6,93.7
68,6,2026-05-01,3.4,1.6,0.16,88.8,95.3
69,6,2026-06-01,3.4,1.6,0.21,90.6,91.8
70,6,2026-07-01,2.9,1.6,0.21,91.4,87.8
71,6,2026-08-01,3.3,1.3,0.24,86.2,86.6
72,6,2026-09-01,3.1,1.3,0.22,88.4,93.5
73,7,2025-10-01,7.5,3.9,2.08,69.5,76.1
74,7,2025-11-01,6.3,3.3,2.02,72.1,77.5
75,7,2025-12-01,6.3,3.9,1.78,71.2,81.1
76,7,2026-01-01,7.2,3.7,2.05,72.6,76.6
77,7,2026-02-01,6.4,3.6,1.69,74.7,77.4
78,7,2026-03-01,6.5,3.2,2.06,70.9,77.8
79,7,2026-04-01,7.5,3.8,1.73,69.8,80.4
80,7,2026-05-01,6.6,4.0,2.14,74.6,81.4
81,7,2026-06-01,6.5,3.3,2.06,71.1,78.5
82,7,2026-07-01,6.4,3.5,1.67,72.2,82.4
83,7,2026-08-01,7.1,3.1,1.99,72.5,77.0
84,7,2026-09-01,7.1,3.5,2.0,69.4,78.3
85,8,2025-10-01,8.9,4.6,4.54,71.1,72.4
86,8,2025-11-01,9.4,5.1,4.81,76.2,71.8
87,8,2025-12-01,7.9,5.9,3.81,74.9,74.9
88,8,2026-01-01,7.7,5.3,4.16,75.3,75.1
89,8,2026-02-01,9.3,4.7,4.73,72.1,75.0
90,8,2026-03-01,9.5,5.0,4.09,76.6,75.3
91,8,2026-04-01,9.4,5.8,3.3,74.4,69.2
92,8,2026-05-01,9.5,4.9,4.9,74.3,72.0
93,8,2026-06-01,9.4,5.7,4.05,72.2,69.2
94,8,2026-07-01,7.8,5.1,3.7,72.1,73.7
95,8,2026-08-01,9.1,5.3,4.52,72.1,74.6
96,8,2026-09-01,9.3,5.7,4.13,71.6,73.2
